INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I152107717,2647,Other,THREATS TO DO BODILY HARM,B3,457,12/31/15 12:55,2015,12,Thursday,12,Part Two,FOREST ST,42.32621728,-71.07694147,"(42.32621728, -71.07694147)"
I152107664,2629,Harassment,HARASSMENT,B3,457,12/31/15 7:47,2015,12,Thursday,7,Part Two,FOWLER ST,42.30006755,-71.0833691,"(42.30006755, -71.08336910)"
I152107665,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,453,12/31/15 7:45,2015,12,Thursday,7,Part Three,ALGONQUIN ST,42.29779501,-71.07384157,"(42.29779501, -71.07384157)"
I152107632,2905,Violations,VAL - OPERATING WITHOUT LICENSE,B3,449,12/31/15 0:54,2015,12,Thursday,0,Part Two,MILLET ST,42.29210002,-71.07634761,"(42.29210002, -71.07634761)"
I152107631,2629,Harassment,HARASSMENT,B3,422,12/30/15 23:07,2015,12,Wednesday,23,Part Two,RIVER ST,42.27133005,-71.08299865,"(42.27133005, -71.08299865)"
I152107626,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,944,12/30/15 22:42,2015,12,Wednesday,22,Part Three,AMES WAY,42.28965805,-71.08634397,"(42.28965805, -71.08634397)"
I152107620,3115,Investigate Person,INVESTIGATE PERSON,B3,565,12/30/15 21:55,2015,12,Wednesday,21,Part Three,HARVARD ST,42.29190075,-71.09029516,"(42.29190075, -71.09029516)"
I152107617,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,444,12/30/15 21:53,2015,12,Wednesday,21,Part One,GLEASON ST,42.29755695,-71.08182045,"(42.29755695, -71.08182045)"
I152107608,361,Robbery,ROBBERY - OTHER,B3,430,12/30/15 21:28,2015,12,Wednesday,21,Part One,WOODROW AVE,42.28576084,-71.09030349,"(42.28576084, -71.09030349)"
I152107602,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,459,12/30/15 20:48,2015,12,Wednesday,20,Part Two,FENELON ST,42.30349827,-71.07937537,"(42.30349827, -71.07937537)"
I152107603,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,445,12/30/15 20:34,2015,12,Wednesday,20,Part Three,ROXTON ST,42.29825488,-71.08041861,"(42.29825488, -71.08041861)"
I152107643,3501,Missing Person Reported,MISSING PERSON,B3,416,12/30/15 20:00,2015,12,Wednesday,20,Part Three,WILMINGTON AVE,42.28029155,-71.07220576,"(42.28029155, -71.07220576)"
I152107640,3501,Missing Person Reported,MISSING PERSON,B3,416,12/30/15 20:00,2015,12,Wednesday,20,Part Three,WILMINGTON AVE,42.28029155,-71.07220576,"(42.28029155, -71.07220576)"
I152107640,3502,Missing Person Located,MISSING PERSON - LOCATED,B3,416,12/30/15 20:00,2015,12,Wednesday,20,Part Three,WILMINGTON AVE,42.28029155,-71.07220576,"(42.28029155, -71.07220576)"
I152107673,560,Other Burglary,BURGLARY - OTHER - FORCE,B3,463,12/30/15 19:47,2015,12,Wednesday,19,Part One,BLUE HILL AVE,42.29330376,-71.0885899,"(42.29330376, -71.08858990)"
I152107595,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,B3,444,12/30/15 19:41,2015,12,Wednesday,19,Part Two,WALES ST,42.29752097,-71.08502291,"(42.29752097, -71.08502291)"
I152107578,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,444,12/30/15 19:09,2015,12,Wednesday,19,Part One,BLUE HILL AVE,42.29792661,-71.08689609,"(42.29792661, -71.08689609)"
I152107590,2647,Other,THREATS TO DO BODILY HARM,B3,429,12/30/15 19:06,2015,12,Wednesday,19,Part Two,THEODORE ST,42.28406985,-71.0882492,"(42.28406985, -71.08824920)"
I152107590,1402,Vandalism,VANDALISM,B3,429,12/30/15 19:06,2015,12,Wednesday,19,Part Two,THEODORE ST,42.28406985,-71.0882492,"(42.28406985, -71.08824920)"
I152107558,613,Larceny,LARCENY SHOPLIFTING,B3,427,12/30/15 18:06,2015,12,Wednesday,18,Part One,BLUE HILL AVE,42.2777688,-71.09334841,"(42.27776880, -71.09334841)"
I162001013,3201,Property Lost,PROPERTY - LOST,B3,428,12/30/15 18:00,2015,12,Wednesday,18,Part Three,HOSMER ST,42.28079658,-71.09039724,"(42.28079658, -71.09039724)"
I152107534,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B3,922,12/30/15 16:38,2015,12,Wednesday,16,Part One,DR. MARY MOORE BEATTY CIR,42.27308641,-71.080129,"(42.27308641, -71.08012900)"
I152107533,2647,Other,THREATS TO DO BODILY HARM,B3,458,12/30/15 16:24,2015,12,Wednesday,16,Part Two,BLUE HILL AVE,42.30238881,-71.08539388,"(42.30238881, -71.08539388)"
I152107512,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,B3,465,12/30/15 15:45,2015,12,Wednesday,15,Part Two,BLUE HILL AVE,42.28482577,-71.09137369,"(42.28482577, -71.09137369)"
I152107515,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,417,12/30/15 15:10,2015,12,Wednesday,15,Part Three,FULLER ST,42.28154388,-71.07350542,"(42.28154388, -71.07350542)"
I152107507,724,Auto Theft,AUTO THEFT,B3,439,12/30/15 12:40,2015,12,Wednesday,12,Part One,BERNARD ST,42.29127678,-71.07920676,"(42.29127678, -71.07920676)"
I152107735,3301,Verbal Disputes,VERBAL DISPUTE,B3,446,12/30/15 11:30,2015,12,Wednesday,11,Part Three,NORWELL ST,42.29631481,-71.07839029,"(42.29631481, -71.07839029)"
I152107453,3114,Investigate Property,INVESTIGATE PROPERTY,B3,445,12/30/15 11:11,2015,12,Wednesday,11,Part Three,GLENWAY ST,42.29843275,-71.08122675,"(42.29843275, -71.08122675)"
I152107419,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,453,12/30/15 9:00,2015,12,Wednesday,9,Part Three,ATHELWOLD ST,42.29624912,-71.07604587,"(42.29624912, -71.07604587)"
I152107423,3410,Towed,TOWED MOTOR VEHICLE,B3,467,12/30/15 8:35,2015,12,Wednesday,8,Part Three,WESTMORE RD,42.28469164,-71.09621548,"(42.28469164, -71.09621548)"
I152107564,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,B3,474,12/30/15 8:30,2015,12,Wednesday,8,Part One,SAVANNAH AVE,42.27373936,-71.10108024,"(42.27373936, -71.10108024)"
I152107411,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,428,12/30/15 7:47,2015,12,Wednesday,7,Part Two,HOSMER ST,42.28079658,-71.09039724,"(42.28079658, -71.09039724)"
I152107398,724,Auto Theft,AUTO THEFT,B3,454,12/30/15 3:17,2015,12,Wednesday,3,Part One,HARVARD AVE,42.29919276,-71.07514519,"(42.29919276, -71.07514519)"
I152107395,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,446,12/30/15 1:02,2015,12,Wednesday,1,Part Three,MILLET ST,42.29646128,-71.07764876,"(42.29646128, -71.07764876)"
I152107394,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,B3,565,12/30/15 0:55,2015,12,Wednesday,0,Part Two,HARVARD ST,42.28231943,-71.09961428,"(42.28231943, -71.09961428)"
I152107394,2101,Operating Under the Influence,OPERATING UNDER THE INFLUENCE ALCOHOL,B3,565,12/30/15 0:55,2015,12,Wednesday,0,Part Two,HARVARD ST,42.28231943,-71.09961428,"(42.28231943, -71.09961428)"
I152107376,2647,Other,THREATS TO DO BODILY HARM,B3,463,12/29/15 23:26,2015,12,Tuesday,23,Part Two,ANGELL ST,42.29642088,-71.08876313,"(42.29642088, -71.08876313)"
I152107376,3301,Verbal Disputes,VERBAL DISPUTE,B3,463,12/29/15 23:26,2015,12,Tuesday,23,Part Three,ANGELL ST,42.29642088,-71.08876313,"(42.29642088, -71.08876313)"
I152107371,423,Aggravated Assault,ASSAULT - AGGRAVATED,B3,463,12/29/15 22:43,2015,12,Tuesday,22,Part One,BLUE HILL AVE,42.29590385,-71.08773294,"(42.29590385, -71.08773294)"
I152107446,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,417,12/29/15 22:30,2015,12,Tuesday,22,Part One,BUSINESS ST,42.25442915,-71.1263254,"(42.25442915, -71.12632540)"
I152107359,3114,Investigate Property,INVESTIGATE PROPERTY,B3,441,12/29/15 21:29,2015,12,Tuesday,21,Part Three,NIGHTINGALE ST,42.29540175,-71.08237834,"(42.29540175, -71.08237834)"
I152107362,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,432,12/29/15 21:09,2015,12,Tuesday,21,Part Three,MOUNTAIN AVE,42.28538167,-71.08546253,"(42.28538167, -71.08546253)"
I152107345,3115,Investigate Person,INVESTIGATE PERSON,B3,943,12/29/15 21:00,2015,12,Tuesday,21,Part Three,BLUE HILL AVE,42.28482577,-71.09137369,"(42.28482577, -71.09137369)"
I152107356,3301,Verbal Disputes,VERBAL DISPUTE,B3,469,12/29/15 20:48,2015,12,Tuesday,20,Part Three,TENNIS RD,42.27615691,-71.09550303,"(42.27615691, -71.09550303)"
I152107363,3301,Verbal Disputes,VERBAL DISPUTE,B3,467,12/29/15 20:45,2015,12,Tuesday,20,Part Three,HAZLETON ST,42.28235794,-71.09804018,"(42.28235794, -71.09804018)"
I152107325,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,467,12/29/15 19:06,2015,12,Tuesday,19,Part Two,WELLINGTON HILL ST,42.28464725,-71.09473285,"(42.28464725, -71.09473285)"
I152107302,3301,Verbal Disputes,VERBAL DISPUTE,B3,428,12/29/15 17:22,2015,12,Tuesday,17,Part Three,ASTORIA ST,42.28020477,-71.0869124,"(42.28020477, -71.08691240)"
I152107297,2629,Harassment,HARASSMENT,B3,430,12/29/15 16:31,2015,12,Tuesday,16,Part Two,LUCERNE ST,42.28524659,-71.08905094,"(42.28524659, -71.08905094)"
I162005059,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,B3,434,12/29/15 16:00,2015,12,Tuesday,16,Part Two,THETFORD AVE,42.28465991,-71.07839997,"(42.28465991, -71.07839997)"
I152107262,617,Larceny,LARCENY THEFT FROM BUILDING,B3,422,12/29/15 14:14,2015,12,Tuesday,14,Part One,RIVER ST,42.27132363,-71.08183509,"(42.27132363, -71.08183509)"
I152107292,3115,Investigate Person,INVESTIGATE PERSON,B3,468,12/29/15 13:59,2015,12,Tuesday,13,Part Three,WELLINGTON HILL ST,42.27965686,-71.09337672,"(42.27965686, -71.09337672)"
I152107239,3301,Verbal Disputes,VERBAL DISPUTE,B3,450,12/29/15 13:37,2015,12,Tuesday,13,Part Three,ROSEDALE ST,42.29244178,-71.07320696,"(42.29244178, -71.07320696)"
I152107221,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,421,12/29/15 12:11,2015,12,Tuesday,12,Part Three,MORTON VILLAGE DR,42.28024352,-71.08481509,"(42.28024352, -71.08481509)"
I152107217,801,Simple Assault,ASSAULT - SIMPLE,B3,426,12/29/15 11:20,2015,12,Tuesday,11,Part Two,BLUE HILL AVE,42.26820198,-71.09367344,"(42.26820198, -71.09367344)"
I152107217,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,426,12/29/15 11:20,2015,12,Tuesday,11,Part Two,BLUE HILL AVE,42.26820198,-71.09367344,"(42.26820198, -71.09367344)"
I162015995,3115,Investigate Person,INVESTIGATE PERSON,B3,465,12/29/15 9:43,2015,12,Tuesday,9,Part Three,BLUE HILL AVE,42.28693222,-71.09070677,"(42.28693222, -71.09070677)"
I152107202,1402,Vandalism,VANDALISM,B3,456,12/29/15 9:18,2015,12,Tuesday,9,Part Two,HARRISON AVE,42.33401829,-71.07638124,"(42.33401829, -71.07638124)"
I152107190,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,427,12/29/15 8:47,2015,12,Tuesday,8,Part One,WILMORE ST,42.2779637,-71.09246318,"(42.27796370, -71.09246318)"
I152107190,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,427,12/29/15 8:47,2015,12,Tuesday,8,Part One,WILMORE ST,42.2779637,-71.09246318,"(42.27796370, -71.09246318)"
I152107190,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B3,427,12/29/15 8:47,2015,12,Tuesday,8,Part One,WILMORE ST,42.2779637,-71.09246318,"(42.27796370, -71.09246318)"
I152107190,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B3,427,12/29/15 8:47,2015,12,Tuesday,8,Part One,WILMORE ST,42.2779637,-71.09246318,"(42.27796370, -71.09246318)"
I152107190,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",B3,427,12/29/15 8:47,2015,12,Tuesday,8,Part Two,WILMORE ST,42.2779637,-71.09246318,"(42.27796370, -71.09246318)"
I152107190,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",B3,427,12/29/15 8:47,2015,12,Tuesday,8,Part Two,WILMORE ST,42.2779637,-71.09246318,"(42.27796370, -71.09246318)"
I152107190,3125,Warrant Arrests,WARRANT ARREST,B3,427,12/29/15 8:47,2015,12,Tuesday,8,Part Three,WILMORE ST,42.2779637,-71.09246318,"(42.27796370, -71.09246318)"
I152107190,3125,Warrant Arrests,WARRANT ARREST,B3,427,12/29/15 8:47,2015,12,Tuesday,8,Part Three,WILMORE ST,42.2779637,-71.09246318,"(42.27796370, -71.09246318)"
I152107240,3301,Verbal Disputes,VERBAL DISPUTE,B3,922,12/29/15 8:24,2015,12,Tuesday,8,Part Three,RIVER ST,42.27172014,-71.07850174,"(42.27172014, -71.07850174)"
I152107167,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,B3,463,12/29/15 4:36,2015,12,Tuesday,4,Part Three,AMERICAN LEGION HWY,42.29708829,-71.09095546,"(42.29708829, -71.09095546)"
I152107160,3502,Missing Person Located,MISSING PERSON - LOCATED,B3,422,12/29/15 2:03,2015,12,Tuesday,2,Part Three,RIVER ST,42.27136131,-71.0810083,"(42.27136131, -71.08100830)"
I152107160,3501,Missing Person Reported,MISSING PERSON,B3,422,12/29/15 2:03,2015,12,Tuesday,2,Part Three,RIVER ST,42.27136131,-71.0810083,"(42.27136131, -71.08100830)"
I152107435,2006,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W ARREST,B3,427,12/29/15 0:00,2015,12,Tuesday,0,Part Two,WILMORE ST,42.2779637,-71.09246318,"(42.27796370, -71.09246318)"
I162002125,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,B3,409,12/29/15 0:00,2015,12,Tuesday,0,Part Two,RIVER ST,42.27152081,-71.07675823,"(42.27152081, -71.07675823)"
I152107152,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,456,12/28/15 23:58,2015,12,Monday,23,Part One,FOWLER ST,42.30085931,-71.08128808,"(42.30085931, -71.08128808)"
I152107146,3115,Investigate Person,INVESTIGATE PERSON,B3,467,12/28/15 23:21,2015,12,Monday,23,Part Three,GILMER ST,42.28281074,-71.09722321,"(42.28281074, -71.09722321)"
I152107134,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,B3,444,12/28/15 22:02,2015,12,Monday,22,Part Three,AMERICAN LEGION HWY,42.29817919,-71.08692159,"(42.29817919, -71.08692159)"
I152107128,2647,Other,THREATS TO DO BODILY HARM,B3,465,12/28/15 20:49,2015,12,Monday,20,Part Two,JOHNSTON RD,42.28750526,-71.09212143,"(42.28750526, -71.09212143)"
I152107131,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,466,12/28/15 20:29,2015,12,Monday,20,Part One,DEERING RD,42.28414025,-71.09305138,"(42.28414025, -71.09305138)"
I152107126,423,Aggravated Assault,ASSAULT - AGGRAVATED,B3,416,12/28/15 19:14,2015,12,Monday,19,Part One,FAIRMOUNT ST,42.28104853,-71.0720644,"(42.28104853, -71.07206440)"
I152107107,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,456,12/28/15 19:12,2015,12,Monday,19,Part Two,FOWLER ST,42.30085931,-71.08128808,"(42.30085931, -71.08128808)"
I152107481,3201,Property Lost,PROPERTY - LOST,B3,439,12/28/15 19:00,2015,12,Monday,19,Part Three,FLOYD ST,42.28952852,-71.08851422,"(42.28952852, -71.08851422)"
I152107102,3114,Investigate Property,INVESTIGATE PROPERTY,B3,458,12/28/15 17:48,2015,12,Monday,17,Part Three,ERIE ST,42.3021658,-71.08118295,"(42.30216580, -71.08118295)"
I152107085,3301,Verbal Disputes,VERBAL DISPUTE,B3,457,12/28/15 17:23,2015,12,Monday,17,Part Three,GLENWAY ST,42.30018979,-71.08244261,"(42.30018979, -71.08244261)"
I152107070,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,B3,435,12/28/15 16:47,2015,12,Monday,16,Part Three,NORFOLK ST,42.28785272,-71.07803392,"(42.28785272, -71.07803392)"
I152107039,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,426,12/28/15 15:51,2015,12,Monday,15,Part Two,RIVER ST,42.268024,-71.09301057,"(42.26802400, -71.09301057)"
I152107026,3301,Verbal Disputes,VERBAL DISPUTE,B3,428,12/28/15 14:29,2015,12,Monday,14,Part Three,LESTON ST,42.28349153,-71.08991288,"(42.28349153, -71.08991288)"
I152107010,3301,Verbal Disputes,VERBAL DISPUTE,B3,431,12/28/15 13:47,2015,12,Monday,13,Part Three,LUCERNE ST,42.28718205,-71.08840386,"(42.28718205, -71.08840386)"
I152107016,613,Larceny,LARCENY SHOPLIFTING,B3,476,12/28/15 13:40,2015,12,Monday,13,Part One,CUMMINS HWY,42.2680362,-71.09484348,"(42.26803620, -71.09484348)"
I152107013,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,458,12/28/15 13:29,2015,12,Monday,13,Part Three,WOLCOTT ST,42.30273607,-71.08248544,"(42.30273607, -71.08248544)"
I152107001,1402,Vandalism,VANDALISM,B3,427,12/28/15 12:23,2015,12,Monday,12,Part Two,WILMORE ST,42.2779637,-71.09246318,"(42.27796370, -71.09246318)"
I152106970,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,439,12/28/15 11:25,2015,12,Monday,11,Part Three,TALBOT AVE,42.29196961,-71.07795509,"(42.29196961, -71.07795509)"
I152106987,3301,Verbal Disputes,VERBAL DISPUTE,B3,445,12/28/15 11:15,2015,12,Monday,11,Part Three,GREENWOOD ST,42.29938391,-71.0798714,"(42.29938391, -71.07987140)"
I152106987,2647,Other,THREATS TO DO BODILY HARM,B3,445,12/28/15 11:15,2015,12,Monday,11,Part Two,GREENWOOD ST,42.29938391,-71.0798714,"(42.29938391, -71.07987140)"
I152106962,3115,Investigate Person,INVESTIGATE PERSON,B3,470,12/28/15 10:54,2015,12,Monday,10,Part Three,ITASCA ST,42.27560924,-71.10031808,"(42.27560924, -71.10031808)"
I152106955,3301,Verbal Disputes,VERBAL DISPUTE,B3,441,12/28/15 10:47,2015,12,Monday,10,Part Three,HARVARD ST,42.29629726,-71.08115283,"(42.29629726, -71.08115283)"
I152106926,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,448,12/28/15 9:18,2015,12,Monday,9,Part Two,MILLET ST,42.29368748,-71.07692422,"(42.29368748, -71.07692422)"
I152106921,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,444,12/28/15 8:14,2015,12,Monday,8,Part Three,BICKNELL ST,42.29746606,-71.0827431,"(42.29746606, -71.08274310)"
I152107285,1402,Vandalism,VANDALISM,B3,427,12/28/15 7:00,2015,12,Monday,7,Part Two,ASTORIA ST,42.27913841,-71.0879709,"(42.27913841, -71.08797090)"
I152106898,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,B3,441,12/28/15 4:31,2015,12,Monday,4,Part Two,HARVARD ST,42.29549223,-71.0858704,"(42.29549223, -71.08587040)"
I152106889,3301,Verbal Disputes,VERBAL DISPUTE,B3,466,12/28/15 2:40,2015,12,Monday,2,Part Three,DEERING RD,42.28414025,-71.09305138,"(42.28414025, -71.09305138)"
I152106883,3502,Missing Person Located,MISSING PERSON - LOCATED,B3,437,12/28/15 0:05,2015,12,Monday,0,Part Three,DARLINGTON ST,42.28927826,-71.07581493,"(42.28927826, -71.07581493)"
I152106869,2660,Other,OTHER OFFENSE,B3,444,12/27/15 23:50,2015,12,Sunday,23,Part Two,AMERICAN LEGION HWY,42.29817919,-71.08692159,"(42.29817919, -71.08692159)"
I152106869,724,Auto Theft,AUTO THEFT,B3,444,12/27/15 23:50,2015,12,Sunday,23,Part One,AMERICAN LEGION HWY,42.29817919,-71.08692159,"(42.29817919, -71.08692159)"
I152106863,617,Larceny,LARCENY THEFT FROM BUILDING,B3,428,12/27/15 22:51,2015,12,Sunday,22,Part One,WOOLSON ST,42.28121227,-71.08941724,"(42.28121227, -71.08941724)"
I152106841,3502,Missing Person Located,MISSING PERSON - LOCATED,B3,945,12/27/15 20:06,2015,12,Sunday,20,Part Three,WESTVIEW ST,42.29091867,-71.08767813,"(42.29091867, -71.08767813)"
I152106904,615,Larceny From Motor Vehicle,LARCENY THEFT OF MV PARTS & ACCESSORIES,B3,427,12/27/15 20:00,2015,12,Sunday,20,Part One,WILMORE ST,42.2779637,-71.09246318,"(42.27796370, -71.09246318)"
I152106843,1402,Vandalism,VANDALISM,B3,943,12/27/15 19:59,2015,12,Sunday,19,Part Two,WOODBOLE AVE,42.27626552,-71.08265043,"(42.27626552, -71.08265043)"
I152106818,301,Robbery,ROBBERY - STREET,B3,456,12/27/15 19:00,2015,12,Sunday,19,Part One,HARRISON AVE,42.33401829,-71.07638124,"(42.33401829, -71.07638124)"
I152106818,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,456,12/27/15 19:00,2015,12,Sunday,19,Part Two,HARRISON AVE,42.33401829,-71.07638124,"(42.33401829, -71.07638124)"
